t	P_2
158.800000	109.991154
158.900000	139.501701
159.000000	169.012645
159.100000	198.545781
159.200000	228.133317
159.300000	257.742118
159.400000	287.358009
159.500000	316.982370
159.600000	346.625181
159.700000	376.313559
159.800000	405.992146
159.900000	435.645261
160.000000	465.319461
160.100000	495.008601
160.200000	524.718649
160.300000	554.410106
160.400000	584.040438
160.500000	611.103918
160.600000	616.823410
160.700000	576.020339
160.800000	510.214719
160.900000	442.261345
161.000000	374.357401
161.100000	306.388854
161.200000	238.380275
161.300000	170.438881
161.400000	102.538310
161.500000	34.571389
161.600000	-33.397495
161.700000	-101.303866
161.800000	-169.205524
161.900000	-237.154522
162.000000	-305.123713
162.100000	-373.134202
162.200000	-441.162272
162.300000	-509.261594
162.400000	-576.312050
162.500000	-624.945453
162.600000	-628.049623
162.700000	-604.080229
162.800000	-575.910032
162.900000	-547.691977
163.000000	-519.503895
163.100000	-491.438427
163.200000	-463.539033
163.300000	-435.643047
163.400000	-407.801120
163.500000	-380.165931
163.600000	-352.615565
163.700000	-325.157715
163.800000	-297.839531
163.900000	-270.681193
164.000000	-243.608384
164.100000	-216.572109
164.200000	-189.693803
164.300000	-163.037794
164.400000	-136.447003
164.500000	-110.028630
164.600000	-83.743518
164.700000	-57.617846
164.800000	-31.549313
164.900000	-5.704354
165.000000	19.974801
165.100000	45.608838
165.200000	71.094593
165.300000	96.279393
165.400000	121.370129
165.500000	146.385507
165.600000	171.168384
165.700000	195.725136
165.800000	220.169730
165.900000	244.474222
166.000000	268.468233
166.100000	292.368986
166.200000	316.169885
166.300000	339.676135
166.400000	362.963217
166.500000	386.189818
166.600000	409.147622
166.700000	431.823053
166.800000	454.361668
166.900000	476.744332
167.000000	498.853269
167.100000	520.852493
167.200000	542.632086
167.300000	564.167342
167.400000	585.453604
167.500000	573.219639
167.600000	483.005187
167.700000	392.589807
167.800000	302.126894
167.900000	211.537064
168.000000	120.671447
168.100000	29.626214
168.200000	-61.422460
168.300000	-152.689808
168.400000	-244.172186
168.500000	-335.737769
168.600000	-427.567080
168.700000	-519.559455
168.800000	-578.482011
168.900000	-560.748565
169.000000	-543.351978
169.100000	-526.089851
169.200000	-509.056009
169.300000	-492.276253
169.400000	-475.789452
169.500000	-459.555639
169.600000	-443.584580
169.700000	-427.890496
169.800000	-412.343239
169.900000	-397.158380
170.000000	-382.237915
170.100000	-367.547477
170.200000	-353.140552
170.300000	-339.061062
170.400000	-325.218773
170.500000	-311.638447
170.600000	-298.380877
170.700000	-285.375476
170.800000	-272.590783
170.900000	-260.135885
171.000000	-247.971658
171.100000	-236.048184
171.200000	-224.476988
171.300000	-213.201296
171.400000	-202.073366
171.500000	-191.339458
171.600000	-180.963081
171.700000	-170.756883
171.800000	-160.870775
171.900000	-151.374615
172.000000	-142.093857
172.100000	-133.007218
172.200000	-124.347742
172.300000	-115.988405
172.400000	-107.846000
172.500000	-100.043483
172.600000	-92.559812
172.700000	-85.375256
172.800000	-78.464407
172.900000	-71.931988
173.000000	-65.528960
173.100000	-59.599555
173.200000	-53.977406
173.300000	-48.492503
173.400000	-43.252346
173.500000	-38.552775
173.600000	-34.111227
173.700000	-29.932387
173.800000	-26.079353
173.900000	-22.625492
174.000000	-19.321656
174.100000	-16.473749
174.200000	-14.224295
174.300000	-11.389322
174.400000	-9.676086
174.500000	-7.819632
174.600000	-6.602553
174.700000	-5.344044
174.800000	-4.985944
174.900000	-4.344299
175.000000	-4.247226
175.100000	-4.247226
175.200000	-4.247226
175.300000	-4.247226
175.400000	-4.247226
175.500000	-4.247226
175.600000	-4.247226
175.700000	-4.247226
175.800000	-4.247226
175.900000	-4.247226
176.000000	-4.247226
176.100000	-4.247226
176.200000	-4.247226
176.300000	-4.247226
176.400000	-4.247226
176.500000	-4.247226
176.600000	-4.247226
176.700000	-4.247226
176.800000	-4.247226
176.900000	-4.247226
177.000000	-4.247226
177.100000	-4.247226
177.200000	-4.247226
177.300000	-4.247226
177.400000	-4.247226
177.500000	-4.247226
177.600000	-4.247226
177.700000	-4.247226
177.800000	-4.247226
177.900000	-4.247226
178.000000	-4.247226
178.100000	-4.247226
178.200000	-4.247226
178.300000	-4.247226
178.400000	-4.247226
178.500000	-4.247226
178.600000	-4.247226
178.700000	-4.247226
178.800000	-4.247226
178.900000	-4.247226
179.000000	-4.247226
179.100000	-4.247226
179.200000	-4.247226
179.300000	-4.247226
179.400000	-4.247226
179.500000	-4.247226
179.600000	-4.247226
179.700000	-4.247226
179.800000	-4.247226
179.900000	-4.247226
180.000000	-4.247226
180.100000	-4.247226
180.200000	-4.247226
180.300000	-4.247226
180.400000	-4.247226
180.500000	-4.247226
180.600000	-4.247226
180.700000	-4.247226
180.800000	-4.247226
180.900000	-4.247226
181.000000	-4.247226
181.100000	-4.247226
181.200000	-4.247226
181.300000	-4.247226
181.400000	-4.247226
181.500000	-4.247226
181.600000	-4.247226
181.700000	-4.247226
181.800000	-4.247226
181.900000	-4.247226
182.000000	-4.247226
182.100000	-4.247226
182.200000	-4.247226
182.300000	-4.247226
182.400000	-4.247226
182.500000	-4.247226
182.600000	-4.247226
182.700000	-4.247226
182.800000	-4.247226
182.900000	-4.247226
183.000000	-4.247226
183.100000	-4.247226
183.200000	-4.247226
183.300000	-4.247226
183.400000	-4.247226
183.500000	-4.247226
183.600000	-4.247226
183.700000	-4.247226
183.800000	-4.247226
183.900000	-4.247226
184.000000	-4.247226
184.100000	-4.247226
184.200000	-4.247226
184.300000	-4.247226
184.400000	-4.247226
184.500000	-4.247226
184.600000	-4.247226
184.700000	-4.247226
184.800000	-4.247226
184.900000	-4.247226
185.000000	-4.247226
185.100000	-4.247226
185.200000	-4.247226
185.300000	-4.247226
185.400000	-4.247226
